plant	plot	no.vseeds	no.aborts	pattern.6	plant.height	nectar.rew	flw.sync	neigh.2m	nearest.tree.dist.cm	fruit.set
17	1	289	5	4	64.5	6.538	0.722	18	253.0	0.655
17	1	162	23	4	64.5	6.538	0.722	18	253.0	0.655
17	1	329	2	4	64.5	6.538	0.722	18	253.0	0.655
17	1	260	20	4	64.5	6.538	0.722	18	253.0	0.655
17	1	304	10	4	64.5	6.538	0.722	18	253.0	0.655
17	1	295	15	4	64.5	6.538	0.722	18	253.0	0.655
17	1	10	1	4	64.5	6.538	0.722	18	253.0	0.655
17	1	332	4	4	64.5	6.538	0.722	18	253.0	0.655
17	1	256	8	4	64.5	6.538	0.722	18	253.0	0.655
18	1	300	35	5	94.0	6.721	0.897	17	207.0	0.658
18	1	337	25	5	94.0	6.721	0.897	17	207.0	0.658
18	1	275	5	5	94.0	6.721	0.897	17	207.0	0.658
18	1	212	40	5	94.0	6.721	0.897	17	207.0	0.658
18	1	280	80	5	94.0	6.721	0.897	17	207.0	0.658
18	1	56	18	5	94.0	6.721	0.897	17	207.0	0.658
18	1	0	70	5	94.0	6.721	0.897	17	207.0	0.658
18	1	9	95	5	94.0	6.721	0.897	17	207.0	0.658
18	1	233	11	5	94.0	6.721	0.897	17	207.0	0.658
18	1	0	40	5	94.0	6.721	0.897	17	207.0	0.658
18	1	55	125	5	94.0	6.721	0.897	17	207.0	0.658
18	1	0	0	5	94.0	6.721	0.897	17	207.0	0.658
18	1	15	80	5	94.0	6.721	0.897	17	207.0	0.658
18	1	0	20	5	94.0	6.721	0.897	17	207.0	0.658
18	1	336	12	5	94.0	6.721	0.897	17	207.0	0.658
18	1	0	0	5	94.0	6.721	0.897	17	207.0	0.658
18	1	276	4	5	94.0	6.721	0.897	17	207.0	0.658
18	1	0	40	5	94.0	6.721	0.897	17	207.0	0.658
18	1	0	0	5	94.0	6.721	0.897	17	207.0	0.658
18	1	0	0	5	94.0	6.721	0.897	17	207.0	0.658
19	1	370	50	6	111.5	7.711	0.897	18	190.0	0.732
19	1	330	65	6	111.5	7.711	0.897	18	190.0	0.732
19	1	210	50	6	111.5	7.711	0.897	18	190.0	0.732
